id,sentence
223,青岛的朋友推荐的，说很值得一去。于是一路找啊找啊，找了两站路，最后发现方向走错了，走不动了，打车去的。小小complaint一下，青岛的门牌号单双号也差太远了吧。。。。、\n环境很好，风景也很好，东西也很好吃。适合赖一天，什么都不做，看海发呆的地方。
235,798里面的一个小店 都是明信片 \n很喜欢的设计 可以填好地址 留下需要邮寄的时间 店里会到时候帮你寄出\n但是需要额外加钱\n你也可以买了明信片自己写好扔到外面的邮筒
238,国庆的时候抽空去了健康煮\n这家自助火锅前一段时间蛮火的\n就跟着点评团团购了\n可是没想到那里加入会员后直接消费的价格跟团购价格是一样的。。\n \n预约制度比较完善，几家分店都必须打400电话统一预约的\n如果不预约，可要等N久的时间啊。。。\n我去的是天山路店，地铁口一出来就是啦~~很方便的~~\n环境还不错，偏紫红的色调，有些暗，但是蛮精致的~~\n大厅都是散座，有几个包厢是大圆桌啦~~\n涮品种类很多，非常的丰富啊~~\n肉类有各种丸子、虾饺、蟹棒等等\n其他的切片肉都是师傅现场切的，需要自己去取\n种类也蛮多的，有羊肉、肥牛、鹅肉、五花肉等等~~\n海鲜区之前看点评好多人都说是冷冻的\n但是我去的时候是蛮新鲜的呀~~\n有各种虾、蟹、花蛤、鱿鱼、扇贝、鲜鱼片等等~~\n蔬菜区的品种就略少了\n不过到这里的基本都是来吃肉和海鲜的。。\n不过也还可以啦~~基本的菜类、菌菇类、粉条类都是有哒~~\n小料和锅底也都是自选哒~~\n自选小料是每个火锅店都有的，就不用多说啦\n这里的小锅是清汤，要什么口味的锅底是自己添加的\n这一点很有意思，如果口味重还可以混合。。。\n甜品、饮料、水果区\n甜品就是一些小蛋糕，这个就一般般啦\n饮料也是机打的那种，水果品种也不多，不过都还好啦~~\n最后凭券每人还可以领一份哈根达斯冰激凌，不过品种不多啊。。。\n更深入了解请关注小蜜的食记帖子~~http://s.dianping.com/topic/4633312
254,那个时候在YY上看到他们家在搞团购，666元好像，拍一套DDP的写真，然后送满月照和百天照!\n当时做了蛮多功课都说他们家不错而且我看这个团购也满核算的，所以就订了、\n他们里面的客服和化妆师还是摄影师都不错，就是那个看上去像老板一样的人看到你不另外加钱做相册什么的就开始脸臭了。\n本来我觉得如果真的自己喜欢的话你不说我也会加钱的，但是他那个态度实在是。。他越是那样我就越不加钱，情愿自己TB上叫人家另外做。。
288,中午去那里买了点心，人还挺多的，结账要排队的，生意不错\n面包看上去都挺新鲜的\n我买了蛋糕吃\n服务态度很不错的\n我就买了2小块蛋糕\n服务员也帮我分别打包装了很精美的盒子\n让我觉得非常开心\n只是不知道为什么旁边卖饮料的一直没有人买\n我也不敢去尝试，一杯咖啡是10元，价格还算可以
308,排队等好久，常点牛舌、还有石锅拌饭，还点了蜜汁梅肉，好大的猪肉，甜甜的，挺喜欢的，还有一贯爱吃的南瓜粥。两个人吃了100多 还可以
326,在北京吃过太多次了。家里后来竟然也引进了这个。实在是性价比太高。披萨好吃又便宜。量都超大的。对于喜欢吃西餐的人来巴贝拉实在是很合适。就是说是有无线。但是去了发现上不了。
332,我很喜欢吃老爸做的焖面，说实话，没吃到外面很好吃的焖面，来到这，看见这个排骨焖面，就点了一个，味道真的不错，和老爸做的没什么分别！
340,去青岛当然要吃海鲜，两天都在登州路转，因为有新鲜啤酒喝~~\n他家葱爆八带（章鱼）味道不错，很入味，还点了炒蛏子、烤海蛎子、椒盐濑尿虾，味道都不错，啤酒喝的是螺旋藻的绿啤，60元一扎，总体吃下来还不错。
343,"到了冬天非常喜欢吃板栗!这家的板栗店味道很好,价格也比较实惠,好象是买一斤送半斤的,量也很足!每周都会去光顾一次,就买11.8的那种味道不比13.8的差哦!"
367,我上班的地方两边各一家原味，这家店在一边，另一边也是个原味。\n早上时同事有时会一起出去吃早餐，一般都去的另一家，这家基本没一起去过……\n图个好奇，我偶尔也去吃过几餐。\n现在的原味粉店越开越多，其实相互间也没啥关系\n这个店算比较大的了，每次去时人也挺多，得先买单拿号子的~价格嘛，不便宜，凡是挂了“原味”两字的粉店比外头都贵个一两块~\n这儿的味道还可以，吃原味的话感觉油比较重一点，味道也鲜浓一些，所以看个人选择了~
402,哎呀，这个人均就不谈了，总觉得这贵的都跟它的设计理念不符合了。\n不过，还是喜欢呀。感觉MUJI的东西已经超出东西本身的范畴了，进而升华为一种对于生活的态度。\n这家收银台前的伙计和别家比很与众不同，废话连篇，也是已经跟他们产品的气质不符合了。
460,家庭聚会，大概20个人，每桌大约16个菜。\n因为是别人请客所以具体的价格不清楚，具体的菜品名称也不知道，印象中有一道茶树菇味道不错；清蒸牙片千万别点，肉太老；有道凉菜，应该是捆猪蹄（我在大连的时候好象还没有这道菜的说），个人认为不错；饺子味道不错，牛肉馅儿的；其他的菜就一般般，没深刻印象，属于夹了一筷子就不太想再夹第二筷子的类型。\n服务员态度还好，不过下次不会主动再来光顾。
477,话说我觉得那里面的几个服务员不错，哈哈~~好久没去了，不知道走了没，58度c的饮品还不错，价格还过得去。
500,环境装修相当不错，在家附近算是个不错的餐厅，每次家里来客人都去青年餐厅。春节时包间没定上定的大厅，每桌最低消费800元，霸王啊！
506,这家店真的不大，去晚了真的没有位子了~我是下午4到的，还没有营业，就先预订了位子，到了5点再去的时候，人开始多了。总体来说，价格还是蛮实惠的，各种刺身都很新鲜。所有铁板累的食物都是加入黄油烤的，味道很香、很浓郁，只是，牛舌有点老，牛肉的块头对于女孩子来说，大了一点点，会显得不嫩。老板娘很热情，会亲自上菜、换盘子的
509,经常去的一家电影院，非常的喜欢哪。。。\n楼下就是百盛，购物饮食都非常的方便呀。。。\n离家里很近，就办了张VIP，还可以打7折，平时又经常有活动会员特惠的。。。\n有4个厅，场次挺多，效果也不错，位置挺舒服，就是偶尔冷气太足了。。。\n这里的爆米花也很喜欢，甜味适中，每次必买，不买就不过瘾啦。。。\n反正是我很喜欢也很方便的一家影院，以后会经常去的。。。
519,饺子 不错 真不错\n原先公司在那里经常去吃，很好吃\n特别推荐 大蒜烧鞭花\n大蒜烧鞭花\n大蒜烧鞭花\n大蒜烧鞭花\n大蒜烧鞭花
529,晚上刚去吃的，其实都是第二次去吃了，一直以为只是家普通的小吃店呢，今天一看点评才知道这么有名还有这么多分店啊~\n都不知道咋点评了，就当普通小吃店吃吃好了，至少我还没发现啥特别的呢
540,2010-6-12\n周末活动，下班后直接过去的\n小隔间里的空调不起作用，有点闷\n口水鸡 很大一盘，辣味适中\n海蜇皮 还是少了点，下面都是莴苣菜\n牛仔骨 量很大，铁锅里盛上来，味道不错\n特价菜 清炒虾仁，还是很新鲜的，也就3两左右吧\n一桶鲜，确实有名气，鲜的莱\n板栗鸡翅 板栗较少，鸡翅，小粽子，好像还有面饼，招牌菜\n咸菜炒蚌肉，清脆的像鹅肠一样\n总的来说味道都不错，分量也很足，吃的蛮实在的
556,以前没有搬的时候去过几次，感觉味道一般，和一般的韩国料理地点大同小异，牛舌、五花肉都还可以，服务态度也行，可以吃吃的
568,这家店点菜的方式不走寻常路，要顾客点单后凭小票到不同窗口自取，我很不适应\n是的凤爪、鲜虾烧卖、流沙包、烧鸭什么的，口味还行\n就是觉得用餐环境有点乱
617,价格不便宜啊，菜量很精致啊。装修还称，不是很奢华的样子，凑合吧。但是菜品的口味很有特点，大概是福建一带的菜系，口味以清淡为主。绿叶蔬菜啊。。。。。。就算是肉类也是很清淡，很清淡的。据说是比较健康，而且呢，对胃肠的刺激不大，只不过呢，对我来说呢，偶尔吃一次还挺不错的，要是天天都这口味就有点受不了了。哈哈哈，那个桂花鸭的分量也太小了，寥寥无几的几小块。
634,"看到名字是彻底被雷了一段时间，\n直到某天...同事说，这里的洋葱圈圈真的很好吃，\n就去了...(可是偶真滴不觉得洋葱圈圈好吃啊,\n就是洋葱外面面包屑炸下，不过那里的阿姨说应该就是这样吃的...）\n咱点了匹萨和千层面，实话说，千层面好吃啊，\n上面的芝士软软香香的相当好吃，番茄酱也很浓郁...\n匹萨就悲剧了...（不过和巴贝拉比起来要比巴贝拉好吃），\n因为喜欢薄底匹萨，所以阿姨帮我们做了薄底的，不过..\n还是有点厚...但是阿姨速度真的是相当的快，\n一般人家烤匹萨要等20分钟了，这里阿姨只要10分钟。\n此外，环境上面讲，他们家的小餐厅真的很小很小，\n一共就两张桌子，其中一张还是他们家人在那里吃中饭。\n就是一家子在家里看电视里面吃饭那种，\n一开始我和同事还犹豫是不是要进去...囧\n不过做匹萨那个阿姨说她以前还和一个老外一起开过连锁店，\n貌似蛮厉害的..他们家还有一个做奶茶的铺子，\n买5杯也不知6杯的还送一杯，\n奶茶生意相当好，人家进店貌似都是来买奶茶喝的。"
646,每次从这里下来就要买一个带回去，因为每天都有15的6寸，所以基本上都按15走的。\n偶尔还有特价，比如tuna的也是15在周末，就多买几个。。更喜欢香葱酱和蛋黄的搭配。\ncheese 打热后在加洋葱和番茄生菜，很delicious……
648,这里的生意很好，但是由于是羊肉为主，这里的面价格不便宜，好像我以前吃的最一般的面也要十几块，而且面和肉的量真心少啊，就是这个汤估计是现熬的，里面还有干丝什么的，比较的鲜，其他没什么，只能说一般般，喜欢吃羊肉的倒是可以来吃吃
649,我经常来交通大学的地下铁喝丝袜奶茶，口感非常的，他们种类很多，人也多，晚上去都得排队，学生很多，大家要是路过，可以去喝1杯
654,单位门口的炸酱面馆，原来叫大碗居现在名字变文气了啊，莫非取“九河下稍”之意？\n大叔吃了无数次的地儿，周四包子A班过来接大叔不巧赶上加班等了一个多小时啊，见到大叔的时候已然饿的不行了。。要立刻吃就来这了，点了俩面一个宫保鸡丁一啤酒，包子本来不想喝又被大叔灌了一杯成了小红脸，面还是一如既往的味道没什么毛病，就是菜爆炒的有点过里面好多糊碎屑。。\n招牌的猪蹄儿没点点菜时给忘了，还有糖醋面筋也不错下次一块点吧。。\n吃完面条直接去逛大华润了，本来是说买水结果花了八十多吧不过都是有用的，上了867就迫不及待的把买的小东西的包装都拆了，然后又把拆下来的包装整理好，真是咱家的好主妇，哈哈\n包子要送我回家，到了南院发现两把长凳都被占领了，就去做小长廊了，大叔犯小心样儿了激动半天以至于晚上都没睡好啊，以后真的尽量不这样了。。\n回顾一个在helen's的经典对白\n大叔：才喝多少脸就红了？\n包子：恩，我也感觉脸都热了\n大叔：是么？\n包子：你摸摸\n大叔：我用嘴感觉一下行么\n包子：。。。（面带羞涩的从了）\n2011-06-16
665,五花肉明显比以前的量少了，翻开到最后那几片居然薄如蝉翼啊，放烤盘上直接就糊了，没法吃。\n鸡胗子一直是我的最爱，可惜这次发现量少了一些。\n烤鳕鱼是我的保留节目，每次必点，这次的鳕鱼块，明显的薄多了，而且切的段很多，不是以前那种一大块一大块的了，是一小块一小块的了！\n鸡翅中，迷你版的，个头小了点就不提了，数量还少了至少1对（2只），外人看不出来，我这熟客能看不出来？\n土豆片还是那样，这个不会有变化。\n只有牛心管是值得肯定的，这次的数量和质量都令我满意。\n个人极爱他家粉丝盖饭，每次必点~~还有拌蚬子，挺大一盘，蚬子超多，味道也好，甜甜辣辣的，但是最近有缩水迹象，洋葱变多了，蚬子个头也见小~~~
680,一家很有特点的的饭店，环境不错，依着窗而坐就可看到窗外的美景，旁边就是安亭老街，服务员很亲切，鸭片和菜感觉偏油，
690,这次换一家苏帮菜馆吃，自己也很有名的，价格就大众化了，平易近人，所以人气也很旺\n冷菜： \n口水鸡：一般般吧，不是苏帮菜做的不太好\n马兰头：还可以\n蓝莓山药：造型很好看，味道也不错，推荐\n热菜：\n松鼠桂鱼：这家才68一条，比起得月楼的价钱真是太值了，味道也很好，又脆又嫩，也很入味\n酸汤肥牛：牛肉很嫩，汤蛮酸的\n清炒芦蒿：不错\n清汤狮子头：够大个，肉很嫩，汤也很鲜美\n价格便宜，吃得也很满足
702,虽然号称是中影旗下的电影院，但是我去了几次都没觉得有多好，里面一共3个厅。逢周末和热门电影的时候人也很多，虽然有3D，但是感觉效果一般。
757,非常火爆的一家小铺，早上如果不趁早儿，呛面儿馒头和豆包儿就抢不到了，馒头又大又喧腾，远远就能闻见一股香味儿，白嘴儿就能吃一个。还经营别的粗粮主食，没有馒头这么火爆，味道也不错，主要是很方便，干净，老主顾吃着放心。
771,闺蜜是定在植物园一品厅的。是他们酒店的指定婚庆，针对于这个酒店有优惠套餐，昨天陪着过去他们公司了解了一下，销售给我们看了他们再那个厅做的样片，全场白绿色系配上T台灯光的效果把这个厅的缺点很好的掩饰掉了。闺蜜的预算不是很高，但是呢销售没有冷脸，而是把我们需要的一些东西 列了出来组成了一个套餐。最后价格也在闺蜜的预算里面。我觉得还是可以的。他们不是硬性消费，而是做了真正需要的做策划。期待这场婚礼。
775,"七宝去过两次了,第二次去的时候才发现有这么个东东,买也了一个感觉一般般的,里面的豆沙感觉没有那么细腻,吃半个就可以的,吃整个就太甜了."
784,很喜欢这家的鞋子 特别是夏天的平底凉鞋 价格基本在千元 虽然有点小贵 但真的很中意 另外 不知道这次百盛199-100的活动他们会参加吗
796,一直都喜欢按按摸，\n去过很多家   一直找不到好的按摩地方，\n不是让你买卡 就是聊天一点都不专注的给你按摩，\n很讨厌这样，这家店还行吧，可能下次会来。。。
807,本来想去新开的隐上花，结果遇到封路，只能绕行，没开出多久就路过蓝莲了，有座还有人帮我泊车，就留在这里吃了。正好阳光明媚，在秋天晒着太阳吃饭，很写意。点了几个名菜，对大家推崇的有机鱼头没觉得非常好，有可能是上得太快，我们等人耽误得稍微凉了点。倒是配的年糕非常糯。另外点的牛肋肉非常棒，很浓，很入味，即使不用酱料也非常可口。当然价格也是我们点的菜里最贵的。\n有个郁闷的是本来想这么冷的天不会有蚊子了，就没带防虫膏，结果被叮了好多包。后来发现不是蚊子，而是一种很小的小虫，居然也是吸血的，叮出来的包居然也和蚊子块差不多大差不多痒。
828,我们部门聚会去吃的，发现涨价了很多，本来是觉得味道不错价格也亲民，现在看来有点贵了。我们要生菜还6元一份，服务生说是这个月开始的。免费生菜是数炉子的，一个炉子送一份。本来免费的话还可以解点油腻多吃点肉。那天是我们先点菜老板后到的，因为人多嘴杂的就点得过量了，要老板埋单的心里有点不好意思，就没敢再要生菜了。吃到一般就觉得太多，想要退也不让。\n本来是事先预订包厢的，他们还电话来确认国，哪里知道去了之后还没有～～\n最后大家都不太有兴致了。
835,連續n年的團年飯在這吃了。大眾化的價錢，大眾化的口味。東西做得還是不錯的，前面弟兄說服務不怎樣，我覺得很對得起價錢了。\n今年感冒了，吃什麼都沒吃出味道。唯獨龍蝦伊面裡頭的面感覺不錯。
845,约好JM一起来的，南方商城附近没有特别有感觉的发型店\n听朋友推荐了这家，那就一块去试试\nR桑是的短发之前太过罗嗦，剪完使得整个人清爽了不少，\n把脸颊两边的头发剪掉反而显得脸小了不少。\n我吗，听了阿杰的建议，选择了优惠券的数码烫\n用的药水还不错，烫的时间也不是很长，弄好之后很日系列\n很有感觉，和我平时看到的杂志很象哦\n刘海更是剪的很有味道，一刀平很漂亮的闹
854,去了不知道多少次了，唉，朋友喜欢去，我也喜欢放松，就经常一起去。\n按摩技术还行吧，我觉得其实环境和服务比起按摩本身更有竞争力一些。\n他们本身也进行了很多次改革了，无论是按摩项目还是服务上。\n相比周遍的几家类似的店，生意的确要好很多。\n反正一到联洋我就会和朋友去那里的。\n价格呢，绝对不算便宜，性价比一般。\n昨天又去了，项目更多了，但是好像其他方面质量更差了。\n给我的那个包房吵是吵得不得了，郁闷，下次绝对要另选房间。\n做的项目还行，折腾了好几个小时，260多， 感觉还是值的吧。\n躺在床上，那个电热毯把床温得暖暖地很舒服，所以不舍得下来，呵呵。
862,这里得没有别处得料多，也不够冰 ，不知道是不是生意不够好的缘故 ，， 态度么，很一般 ，反正不会再来
863,第一次来这儿吃饭，我朋友店里平安夜聚会，我们随便找的。总体来说味道还不错，就是有点儿油。服务差点儿，让填汤的时候叫了三次都没给填。
915,"买咗来食好耐,但一直都唔记得点评。\n买咗6只味道,（时间太耐唔记得边6只）,芝士草莓果最难食,反正就系有芝士味道都唔好食,好奇怪。\n最好食都系抹茶。价钱都算贵。"
916,家门口上档次的饭店，请客首选。价钱小贵，自家只好难班吃吃哈~~轮番下来，他家的菜大部分已吃遍（海鲜极品不算耶）樟茶鸭，牛柳，熏鱼，糖醋小排，蒸江鱼鲜，布袋饼，霸王鸡都是属于好吃不太贵的；鲥鱼，火方很贵但是好吃的，不好吃的还真不太有，无怪乎会经常光顾哦......
925,这里是101号，玻璃博物馆685号，别看号码离了远，实际公园隔壁过条马路就到玻璃博物馆了。\n看好下午的表演出来去钢雕公园，走过去最多10分钟。公园4点关门，门口登记下就好进去了。\n从门口看，有很多废铁做成的雕塑，往里走就是废弃工厂，都是不能过去的，边上能过去的就个滑梯，看着很不错，但是厚厚的灰啊。\n这里人真的很少，瞄了眼登记册，今天10月2日一共才进去不足20人。\n逛了圈，又冷又荒，有点渗人，那些雕塑仔细看都透着寒气，所以20分钟就出来了，没什么可逛的，特地过去就没什么意思了。\n另外出来的时候突然觉得腰疼，后来就好了，不知道是不是巧合，反正那个地方蛮那个的，不会再去了。
926,公司年会选在这里，三楼电梯右手进去的这个厅，感觉满开阔的，菜品也对胃口的，就是结账的时候说不能刷卡，只能现金，这个不知道是年夜饭的规矩还是什么，觉得不是最合适。
931,乳鸽必点，其他的还真说不出什么特别的。比一般港式茶餐厅贵不少，但是味道也没有很突出吧，点心还是蛮实惠的，炒菜类就一般了
933,因为离家近，所以常去，没地放方去的时候常去！整体环境还算干净，东西就这样，毕竟是连锁餐饮，没什么大特色，真要说特点就是没有特点。
934,没想到生活时尚会介绍这家店，有次去的时候正好赶上在拍，后来朋友还特意看了生活时尚频道，找寻我们的身影，结果是。。。没有。。。\n赶上这家店周年庆的时候，满百直接抵扣30，顿时觉得价格还是亲民的。\n菜品嘛，其实还过得去啦，酸菜鱼虽然达不到鲜得眉毛掉下来，但终究量还是在的嘛，之后还尝过羊蝎子火锅，印象不深了，他家的饮料是畅饮的，虽然兑水是事实，但终究比白水好吧，如果对火锅不挑剔的朋友，这家店还是可以吃吃的。
939,如今面包店，都仿造85度C来开了\n连东西名字都一样了。。。我汗一记哦\n不过价格比较便宜点就是了\n这个还是不错的，还有的打折的东西卖\n喜欢吃清蛋糕，很大一只，也不贵，可以供好几个人享用了~~\n诚实的说，东西还是可以的，味道也是可以的\n就是从里到外山寨人家。。。哎
940,去吃的大部分都是复旦学生，也可能是因为学生比较好欺负，所以这家店的服务态度不是一般的差，服务员拽的不得了，有的根本不正眼看你。
955,青年公园交通不算方便\n但中山八路附近来讲算系几清秀的一个公园\n虽然无咩水景 亦无咩山 平地的一个小公园\n不过都几舒适 可惜就系附近交通不太好 马路过多 地处偏僻\n拍了不少照片 这里最受欢迎就是烧烤场了 基本都是10几20岁的青年人在烧\n价钱是不贵 周末如果天气配合都真系几满人添\n门口有巴士站 其实坐车会比系附近行过来更适合\n.
957,表弟女儿双满月在这里办酒。\n服务马马虎虎，菜品嘛就清炒蟹粉有点印象，其他没撒印象了。\n口味一般吧。。。\n但是价格绝对和菜量不符，太少了。。。\n一盘菜几口就没了，宁可去城隍庙吃蟹粉小笼滴。。。
971,午餐时间吃早茶，全因营业时间较晚。\n零点每人需收茶位费，听见隔壁桌在争执，南京人，不习惯，喝白开水好了。\n猪肚惊艳、鸡爪正宗、流沙包可口、蛋挞酥甜，这样的餐厅，不做早茶可惜了。\n服务员不断地斟茶水，却不把壶放我们桌上，这样一来，少了点老广东早茶的氛围。
991,那些面包种类还是蛮多的，活动也有，我喜欢吃甜甜圈，牛奶味牛轧糖，牛奶味特别浓，但是另一个口味的不是很哈了，还有热饮，蛋糕也好吃
1005,第一次吃298的。总体的感觉不错。\n最喜欢吃那个大明虾，那么大一只，真好吃。\n还有生鱼片，三文鱼的鱼腩，还有三文鱼。味道都是不错，比较新鲜。\n鹅肝太甜了。不喜欢。烤肉也觉得一般。\n烤的鱼还是不错的。\n品种还是少了一点。性比价还是不是很高。\n还好是别人请客。\n服务要夸一下。小男生比较周到。
1021,一定是东北的地区难以get到广东点心的精髓，让一个和在广东上学的同学一起去吃的我情何以堪？那个粥里的蛋竟然是白水煮熟了的蛋切成小块的我真的是崩溃了要，随便吃吃吧真心无语。可能是东北人吃东西习惯神马的都木有碗只有一个我觉得是用来吐骨头的碟子，问他们要一个碗的时候像看怪物一样看我TAT 要发票的时候还说不要发票就可以送饮料什么的早你怎么不说送饮料呢，切
1028,去过很多次了，一直都很喜欢那个味道~吃鱼比较不能长胖，冬天吃的话还暖暖的很舒服。前几次去的时候每次都点的小米辣。挺好吃的，还送了我两对杯子。挺可爱！\n唯一缺陷：不能刷卡！
1032,周末去看《功夫梦》，到早了，\n还差四十分钟才开演，时间不多，就来这里坐坐。\n可是没想到，就这四十分钟，\n吃到的不是可口的 ICE CREAM ，\n没有享受到哈根达斯的服务，\n而是生了一肚子气，\n浪费了四十多分钟，\n电影还差点晚了。\n点了两个一心一意，第一个是在10分钟之后，也就是距离开场半个小时的时候上来的，速度不错，味道嘛，还可以。\n而第二个 则是30分钟之后，在我们一再催促之下，此时还好离开场有10分钟。\nBUT，but，BUT！！！\n当药结账的时候，服务人员又让我等着，在我一再表示我要去看电影，马上就要晚了的情况下，他们仍旧自行其是，真的让人很窝火，\n哪有这样的服务？\n上两个冰激凌就差了20分钟，结账又10分钟都搞不定，当时店里没几个顾客，也大都是点完了在慢慢的吃，边吃边休息，或是聊天，不知道怎么就这样的【效率】呢？
1036,额=  =现在很难吃到让人惊艳的东西了。。最多只能分得出来味道对不对。\n外婆家的菜并没有和它门口的队伍成正比。一般吃吃还是可以的\n昨天年初四。我被老爸老妈派出去排队。十点三刻到那的差不多12点半就进去了\n点了外婆红烧肉，鱼羹，石锅鱼，石锅饭，茄子，麻婆豆腐，有机蔬菜，珊瑚虾\n上菜速度还是挺快的。人这么多也不容易~\n可能外婆红烧肉是第一个上来的菜。所以我觉得这个还不错。。。挺适合我口味的=  =油肉那部分可以吃了，鱼也处理的不像鱼了(像咸肉)【这里绝对是表扬的意思= =因为我一般不喜欢吃油肉和咸鱼\n其他。。也就这样。。。。\n就是。。不惊艳。【但也有可能是因为我麻木掉了= L =
1107,公司同事辞职吃的散伙饭，菜品味道不错，地道北塘口味，菜量很大，也比较新鲜！可以尝试一下“掉螃蟹”，服务员态度不敢恭维，自带酒水不给开发票。
1116,很远的来到了，停车场灰常大，传说还有班车的。里面的品牌也还不错，从中档到高档都有。整体风格非常的异域，欧洲。但是仔细看就能发现房子其实非常破，虚有其表的破败，简直豆腐渣工程。最烦的就是由于是分开的小屋子购物，从一家走到另一家需要出来，这对于夏季冬季超长的北京来说简直是受罪~~~
1136,朋友请客，去吃的草鱼，我们点了个2斤4量的鱼，四个人吃刚刚好，别的菜品也还可以没啥特别的，就是冻豆腐有点奇怪的味道，我们都没吃，回到家，妈妈就开始闹肚子，不知道是不是太辣了，还是本身食品卫生没有达标，下次应该不会考虑再去了。
1153,每次来滨江道都得买五福西点，有一种蜜豆蛋糕很好吃。蜜豆很多还有貌似奶油的东西混合在一起。这种貌似奶油的东西需要高手指点一下，凉的时候比较硬，常温下又比较稀，我痛苦的想到了反式脂肪什么的，我爱吃但怕对身体不好，我不懂请问有知道的吗？请站内我谢谢
