sentence,label
地理位置不错，就在久光对面。。。。。。。 在那里买过西洋参和虫草，西洋参就不说了，冲水喝的，品质也就这样了。。。 虫草明知道在那里是卖贵的，但是那里几个阿姨服务还是不错滴。。。会一根根的帮你挑，就冲着这份细心，也值这个价钱了吧，哈哈,0
一群人去的 吃了生鱼片 比较喜欢毛血旺 重口味一些 还有很多其他的菜 有些记不清了 不过口感还行吧 值得去下~~~ 环境还可以,1
环境非常好。人少。哈哈。就是东西贵啊。只有过节的时候可以买买。早上一早去排号，可以拿到比较实惠的衣服的。还有福袋也是不错,1
平常看电影基本上都去那儿的，主要是地理位置比较近，交通方便。但是这家电影院不是很新，不过价格比UME便宜一些，星期二跟星期三都是全天半价的。,1
比较久的一家店了，二层小楼，环境不错，东西还是烤翅最好吃。其他的比萨也做的还可以，但太占肚子，成本又低，所以只尝一块。,1
收费是48/位，儿童1米以下不收费，1米以上儿童半价. 基本上跟牛太郎很像，就是超多肉肉，拿来烤啊，有大麦茶，解腻，没有咖啡，有饮料：可乐、雪碧、芬达、醒目。 说是所有酱料均来自韩国，反正我觉得酱料还不错。 我们去吃时菜品很新鲜。品种也是很丰富的。 基围虾好吃，哈哈，我还喜欢培根，表妹不喜欢啊，肉肉很多，很哈皮，等十一再去，手受伤了现在要修养！,0
和朋友去过，进包房，聚会还可以，喝了杯咖啡，自己还没去过，感觉聊天，消磨时间都还行，应该可以上网，哪天有时间感受一下，,0
说实在的，我真的很搞不懂这家店开得如此红火的理由。 每次有朋友约在这里我都很皱眉，一个烧烤是好吃的什么程度让人大老远的非往这里跑不可呢？我真的想不到理由。 排骨串据说是这里的头牌，但是那个味道真的不合我胃口，烤羊排还勉强可以，羊肉串也不好吃，真搞不懂为啥这么火！,0
小脑壳现在只是名气大，前两年没得楞个出名的时候还是好吃，特别是排骨和肉串，这哈是越做越假了。环境脏得很，排骨竟是骨头，肉串味道也不行了，卖的又贵，还不如路边随便一个烧烤摊的东西好吃。,0
店面比较小，老板很有爱，和他聊了很久，聊点啥“内幕”。在烤肉店方面还算可以，但是也只能说还算可以，没有什么亮点。（竟然把我最爱吃的鸡翅烤焦了！哭~）,0
新店的感觉就是不一样，又亮堂，又干净，前天克跟老爸定了个生日蛋糕，草莓地，切片到目前还冒吃过，正好趁这个机会好好试哈，不过价格都涨了，其实相对于樱花家的蛋糕来说，价格已经算是高的了，现在还要涨价，但是拥护者依然还是那多，可见现在的人对物质享受是越来越高了。。。。。。,1
"地段不是很好并不影响生意,这里口味很不错的说 价格很合理,服务很上档次 坛子肉是这里的招牌菜,肥,但是好吃,有时去晚了还没有了,汗 上次4个人去晚了给了个包厢,够气派啊...",1
这里的日料是我来的次数最多的！服务态度非常好哟！而且上菜也非常快！三文鱼头真心美味！唯一美中不足的是环境不是很好！形形色色的人都有！Yp太多了！握以后会多来光顾嗒！,1
和朋友去吃，人很多很乱，朋友要的味千拉面都快见底了，我的石锅还在炉子上呢，怪不得要点完菜就付款，是怕人等不及就走了吧。,0
有好多好吃的，但就是人太多，也不知道是什么原因，可能是边上靠近学校的缘吧，虽然人多但东西还可以，值得去逛逛 。还不错,1
去了三次，都觉得不错。 首先炒年糕是必点的，我喜欢海鲜那种 其次，炸酱面也是不错，分量还挺多的 牛肉石锅饭不过不失，没有其他人说的那么好吃 之前还吃过火锅，不过味道怎样就忘了 餐前小吃不错，喜欢南瓜羹 大众点评卡有9折~~,1
时常叫宵夜外卖，也会去店里吃，晚饭时间去可能要等位。东西是好吃的，价格小贵吧。 推荐： 生菜火鸭丝粥 -- 每次必点，干炒牛河，干炒肉丝面，椒盐九肚鱼。,0
味道越来越差了，服务也不好，经常没货 前些日子跟85度竞争搞活动，买30送30，等去换面包的时候被告知只能换饮料，这不是坑爹呢么，简直是欺诈消费者，虽说最后迫于顾客们强大压力换了面包，但总觉得是被骗了，以后不会再去,0
原来最爱去的逍遥寨，后来改名成了馋府，还以为肉饼都没有了，结果进去发现里面都没变，还是那么经典，菜量大，很实惠，肉饼味道也很好，猪肉香菇，牛肉胡萝卜馅的推荐。,1
冬天了~就该吃火锅~虽然今年的千年极寒还离得远点~ 食物都非常新鲜，鸡鸭血啦，豆腐啦~羊肉，牛肉~价廉物美 但是我最爱里面的黑鱼片~那个鱼皮QQ脆脆有嚼劲 不过，服务……望天 “我们5点以前不接受定位”这句话的理解非常有深度~~,0
团的票，结果一直下雨不开门，最后一天开了光换票就换了2个小时。明明天气原因却让消费者来承担。 地方还好了，只是儿童池的水太浑浊了。 饭很难吃，吃饭的地方也少。 换衣服都是在公共卫生间里。,1
早就想好要吃的，吃好火锅么正好呀~~ 找了好一会儿才找到啊~~ 点了热的大壹丸1号和芋Q牛奶冰，大壹丸1号选了仙草汤底的，有花豆有珍珠有芋Q还有金薯，温温热热蛮好喝的~~芋Q牛奶冰选了一半芋Q一半金薯，金薯就是地瓜丸，比芋Q要更好吃哦，浓浓的奶味加上满满当当嚼劲十足的芋Q和金薯，不错呢~~下回要吃吃看冰的大壹丸1号~~,1
现在搬家了 搬到鲁谷去了 记得在这里拔牙的 是一对老夫妻 有2台仪器 服务超级好 技术也一流 价格还便宜 看牙的好地方 每次有牙科问题第一想到的就是这里 人少不用等,1
游览完静园步行到老房子，大概走了20分钟，一不留神差点走过，很不起眼的。外墙是老旧红色砖房，小小的门口，里边的陈设也是老物件。当时也不太饿，就点了个老板推荐的老爆三，味道还行，就是忒咸，忘了提醒少放盐了，我们口味比较淡。不过当时已经过了饭点，屋里就我们一桌，不知是不是老板犯懒，还是怎么滴，就给我们用纸盘子上来了，很是少见啊。,0
上次同学不小心买了一杯招牌给我，我才发现在北京也有这么好喝的港饮的店！从此就恋上了他们家的港饮..经常有空再附近就专门跑过来.. 地点在东四往北走还挺远的。店面布置非常温馨！蛮大的，里面配有很多漫画，居然还有游戏机等等，为顾客考虑的真的很周到~店员态度也很好~ 招牌和丝袜都挺正~平时我也只喝这两种。丝袜这次喝觉得有点甜~不知道是不是只是这一次的问题~ 总之不错啊是我们思念港饮的好地方,1
我觉得辣锅有点咸，吃了不少家的火锅竟然觉得傣妹的味道最好，当然卫生环境不能和滋奇比。羊肉非常嫩。龙虾里面貌似有酒，吃到点酒味。龙虾剪得很干净，就是现在还没什么肉,0
就在我们家附近，走过去大概10分钟，真的方便啊！ 服务还是很不错的，和所有的85门店一样，装修什么的都差不多，试吃活动会经常有，啊哈哈哈 于是，我就会经常去！老妈很喜欢里面的蒜香面包，咸咸的很好吃~,1
平常也不怎么去那里，偶尔的一次逛街和朋友去的，那里的鞋子还可以，衣服的款式也不怎么多，有点俗！不过消费还算可以，属于那种脚底店的消费！！！！,1
点了鲜虾云吞面，可能是吃之前期望值定得有点高了，离大洋很近，吃起来确实很冲，榴莲的臭味几乎都没有了，没有大家说得那么好，大致就是个中规中矩的港式茶餐厅～，也非常显眼，服务员不会安排座位。,0
在西安本地同学的带领下游过西安，在街头小巷中吃过地道的羊肉泡和肉夹馍，很怀念这种感觉和味道。因此对这间餐厅也向往以久，但因为家里人对面食及北方菜系不感兴趣，一直没来过，昨天好不容易说服下来了，打开菜单一看，还真没法下手，顾及到家人的口味，好不容易点了几个看起来比较像粤菜的，后悔了和家人一齐来。羊肉泡和肉夹馍一般般，几个菜味道还可以。还是要另找些朋友再来一次，因为根本就没点到比较正宗的西北风味的菜。,0
很喜欢MOMCHHICHI，每次杂志上看到都舍不得放下，后来终于拥有了一对，大爱！就算不买，都想能够经常的去看看,1
环境小了点，好迷你，下午四五点还有很多人排队，等位很正常。 环境不错，休闲一下挺好的，服务还算到位。 喜欢点招牌，芒果白雪黑糯米甜甜最好吃，味道很好，芒果很大个，黑糯米完全恰到好处，白雪里面有冰片，喜欢~ 最喜欢双皮奶，觉得超好吃，很是喜欢！,1
非常不错的面包店，现在能开在家门口了，买东西方便多了。经常关顾，希望平时能多搞一些优惠活动。价格不算便宜，但是味道不错，和宜芝多差不多。很喜欢！,1
在大众打印的优惠券，虽然从69折涨成89折，不过还是很值的。两个人，一份羊肉套餐，两杯芒果饮料，非常划算。主食建议选择面，因为饺子很少，烧饼太小，哈哈。 最近新推出了“蛋白Q豆腐”，服务员推荐的，点了一份，结果感觉非常上当，什么东西啊，跟麻辣烫里的那些豆腐差不多，只不过是原味的。还要8块呢，总共没有几块儿。,1
超爱这家店！！！ 在韩国的时候就超爱，首尔那家店总是排大队！回上海了就以为吃不到了总是想着啊。结果现在开了上海分店了！！！太开心了！！！ 芝士年糕还有部队年糕是大爱！！！强烈推荐的是最后的炒饭！！！好吃到幸福！！！ 可惜价钱比首尔的贵了一点点。。。首尔那家店排大队的原因也是平价又好吃。。。,1
绝对经典的铜锅涮肉~简单的清汤，配上麻酱小料，省下的就是细细品位肉和菜的香了。朋友说海鲜小料的味道也很不错~ 毛肚切的很细，也很爱熟，很嫩！ 一个一阵子不去就让人很想念的味道~~,1
身体不舒服，不想吃那些油腻的，看着那些牛排啊烧烤的店不能进去，真是。。。后来来他家了，涮点菜吃，还可以，价钱也比较便宜，环境也就那样吧,0
豆浆油条就不用说了，招牌嘛，个人觉得他家的甜点都很好吃，水晶包也好吃，馅儿很鲜美，样子就不是那么的好看，不过好吃最要紧啦,1
算上今天，是第二次去了 都是朋友小聚 因为一个朋友对这一带熟悉 来的这里 不过味道还是不错的 但是环境真的是一般啊 今天点了宫保鸡丁，我喜欢里面的花生米 很脆的,0
冷言冷语。完全与品牌不符。 虽然味道不错可还是影响心情。 基本不会再光顾。真不知道是怎么培训的。 哎,0
去过几次，一般以牛排、鱼生、蔬菜为主，喝点葡萄酒。菜品质量一般，主要是和朋友聚餐时，自助餐能基本满足大家的口味。原本要办一张卡，但哪天的服务很糟糕，牛排不热，而且很硬，但服务生就是不肯认错，所以就over了。顶着静雅的名号，就应该有头等舱的服务。,0
就在公司附近，中午就叫外卖了。打电话过去，问是否送外卖，店家说2份起送。于是和同事一起，叫了几份。以前也叫过外卖，这家店的时间观念差，一直是“有名”的。可是，今天晚的实在太离谱。要的是11：30送到，到时中午12：30，打电话去催，先是无人接听，之后再打就是忙线了。打了20分钟依旧如此。服务态度恶劣，如果实在不能送，至少打个电话通知一下吧~~~这样的店，以后决不再光顾。,0
过生日在这里订购了一个双层的黄油蛋糕，之前的蛋糕都在这里定的，不过之前都是吃奶油的。感觉还是不错的。 但是谁想到。。这个的这个黄油的，真是个大悲剧！ 吃起来十分腻！我平常超级能吃甜食。什么暴风雪两大杯一点不成问题。特别能抵抗腻的感觉。但是这个。。我去 一口下去就不行了。黄油层十分的厚实。非常糊嘴，特别腻。以后还是不要创新的好= =,0
这家店确实地道 去的话还是不要点什么鱼香鸡丝和宫爆了 严重推荐口水鸡！ 是我吃过的店家里最美味的！一次点两碟啊…… 东坡肘子确实不错 滑而不腻 水煮鱼 酸菜鱼 什么的是妈妈的最爱…… 还有一个什么麻辣虾 具体名字我也不太记得了 就是里面有炒年糕的那道菜 味道也很不错 虾很大也入味 店前的停车位不是很多 但转过去大厦后身有地下车库 收费的 环境还是不错的 有包间,1
出差和同事来这里吃的，味道不错 没有选火锅 推荐烤皖鱼、藕片、青瓜、菌菇 主食面条，配上锅底鱼汤非常鲜美 其它烧烤也不错，不过一定要乘热吃,1
音乐很好，也很舒服，灯光恰到好处，略有些昏暗，可以让人很放松，沿街有一溜窗户，看着窗外人来人往，喝口咖啡，发发呆，非常的惬意,0
超过预期的一家店！很喜欢！以后还会再去。 慧公馆在上海其实有几家，但是朋友说这家环境最特别。坐落在思南公馆的一幢别墅里面，很安静，装修风格很温馨，以白色和红色基调为主，是女生很喜欢的装修风格。 中午套餐，有188的，和258的，好几道菜，摆盘很精致，味道也很好。中午几乎没有什么人。超级喜欢的地方，以后还会再来。,1
这家店生意一直很好，经常是要排队的 同事很喜欢去这里买奶茶，这边外卖生意也很好，有次去买奶茶，前面居然有400份奶茶外卖╮(╯▽╰)╭ 估计是周围哪个公司定的，太恐怖了 布丁奶茶还是我的首选,1
小时候记得那里办过恐龙展，貌似还有什么木乃伊归来的一个什么展览，觉得那里环境不错，地处市中心，交通也很便利的。,0
物美价廉 性价比很高的川菜馆噢 水煮鱼不错 黄喉不错 那个牛肚超辣的 第一次吃碎米鸡丁觉得超美味 第二次去就觉得不怎么滴了 还是会去尝试新的菜品的 因为那里人也少 不会什么排队等位之类的事,1
小李汤包 是家老字号店，南京名小吃，我吃了多年，味道始终不变，汤包 4块钱8个，比尹氏汤包便宜，现在又增加了几个品种，改天我还要去一一品尝，,1
临海渔村在塘沽应该算高中档的饭店了，菜肴品质还是很对得起它的价格的，每次来这里都是公费，跟着单位领导来的，觉得这里的海鲜很鲜的，鲍鱼和辽参座的都很不错。比较适合商务聚餐。在大厅没吃过，感觉包厢里面的服务生服务还是很到位的,1
离住的宾馆很近，就过来解决晚饭，两个人点了一份烧鹅，一个猪大肠配苦瓜，一个黄鳝西芹煲，烧鹅是他家的特色，那层皮非常香，而且脆，蘸上配的酱能解腻，不过皮下面就都是油了，猪大肠居然是脆皮的，有点咸，黄鳝做的好一般啊，全是料酒味，估计倒多了，吃到一半就好腻，吃不动走人了,0
晚上人有点少 服务少许显不周到 门口的小姑娘希望更灵活点 效果一般 没有按摩 做头发的时间也比较短 女人比较多,0
江北万达其实弄的蛮好的，只是对我们来说去的不多，因为不方便，我们住在江东，真的是一个是这头，一个在那头，加起来就去过三次，里面人气也不是很旺，重点那边广场周围有点乱，外来人口很多，晚上太晚回去的话怕怕的,1
一直都比较喜欢这里的环境和甜品，有种懒懒的感觉， 只要到中环这里 这里基本上就是我和我老婆小休的地方 喜欢 杨枝甘露 和 白雪黑珍珠,1
很早以前跟初中同学聚会的时候去过，在旁边吃了鸡公堡，散会以后不想早回去，就去了这家KTV，当时价格神马的还是可以的，就是很黑，比较吓人，但是人多么也就算了，音响还ok，据说是***，反正比较的不舒服 现在KTV也多了，没必要选择这个了，可是它居然还开着，蛮惊讶的,0
两个人在一起之后最发愁的就是送什么礼物给对方，总是喜欢送礼物又想不出什么最合适。我要送他的礼物从圣诞节，拖过了情人节，一直拖到植树节。给他选礼物真的很难，各种各样的难，好在他还有打球这个爱好，那就送双鞋给他吧。上个周末一起去百盛买了鞋就顺便在这里吃饭了，mark,0
自助餐烧烤思密达！（这个，不属于宇宙？） 门口老板在热情招呼着，门口交钱进去，左边是座位，右边是选餐区。 种类很丰富么，凉菜热菜。。。白酒啤酒便宜红酒---当然我们是来吃韩式烧烤的。 围着一座，香菇，肉啊什么的都来烧烤，人流量不小。自助么，味道就看自己吧，服务上换盘子也算及时。 亮点在于：他家的鲜榨果汁不错，各种的喝了好几杯。。。,0
这里挺大的，环境很好，很干净整齐，品牌也很多，还是不错的，经常能看见打折的东西，就是有点远，喜欢的可以来转一转，底下就是超市，不见得多便宜，但是应该是属于大一点的了，很多人,0
这个店逛街的时候来过一次。整体感觉一般，就是锅贴做的比较好些。口味还可以。没有太多的特色，锅贴在哪吃基本都差不多。觉得比饺子好吃点儿。,0
倡导健康饮食，不用节食，不用剧烈运动，生活健康了，体型自然苗条了。但是前提是要有一定的自律，没有人强迫你做什么，完全靠自觉。,1
哈根达斯，从小就很喜欢的冰淇凌店，以前小时候都不舍得吃，现在自己工作了，反而不喜欢吃了，觉得偏甜了点，不过环境是几个牌子店里比较高档的了,1
前天去的价格便宜还可以餐厅环境和气氛都很好 香辣蟹 巴西牛排 烤金针菇 香酥虾 烤玉米 红酒鸡腿 烤玉米 水煮鱼烤香蕉都很好吃,0
卤肉饭量不大，尝尝味道正好，卤肉确实又酥又香；甜不辣品种还蛮丰富的；蚵仔煎很有性价比，虽然蚵仔不是最新鲜，但是总体口味还是很好；综合冰28元貌似，量还蛮足，不错，我喜欢的。总体来说，偶尔来吃吃还可以。,1
这家店的口味很不错，炒菜的价格很便宜，味道又赞，所以蛮实惠的，就是环境一般，有时候人多很吵，服务员态度也一般，他们家的点心不知道为什么，我就不是很喜欢吃，喜欢吃这家的炒菜！很不错！,0
