sentence,label,dataset
第一次吃烤鸡皮（国强烧烤）\n在王府井大饭店旁边，距离王府井步行街还有10分钟左右吧！\n店里很有特色，有漂亮的小灯！\n烧烤做的不错，美味的鸡翅，香气四溢的鸡皮，还有烤包子呢！\n看看店内环境吧！！\n我第一次吃鸡皮\n看着不错，尝试下还真有味道！！！！！！\n烤鱼和麻辣香锅\n麻辣烤乌江鱼\n麻辣味道有点淡，整体还是不错的！\n豆豉烤鲶鱼\n麻辣香锅味道也很好\n凉菜我喜欢吃凉粉，酱好啊！\n茄子也不错，很解腻\n烤包子，味道超级好呢，就是只吃了一个，要是再有多几个就好了哈！,1,dianping
不知道为什么点评那么少啊。。。味道很好的一家店，菜是一些家常菜的创新，很不错的。而且价钱很便宜。以前经常去吃的。很喜欢，哈哈,1,dianping
显然也是由于刚开业的关系 上菜慢得让人无语  最后无奈退了两个菜  菜量整体较少  烧卖、蟹粉小笼做的很不仔细下面也没垫个胡萝卜片 四个都粘到一起了 糖醋熏鱼很好吃 本人不爱吃熏鱼都吃了整整三大块 整体环境比较好 开放式的就餐环境但是除非你是姚明之类的否则不容易从外面看到里面 整体价位较高 很多管理类得服务人员应该是南方来的 其他的估计本地招的 连菜名都没记清楚,0,dianping
老克勒额米道！环境很嗲~菜色味道也很不错~很实惠~\n212，翅汤，甲鱼，雪蛤，鹅肝，龙井都到位了~\n不过这地方适合小胃口的，菜都很小盆很精致~\n大菜没点，不知道大盘的鲍参翅肚到底正不正宗~\n改天还要去尝尝~,1,dianping
他们家的蓝莓闪耀很不错的，山药的口感是非常特别的，不是很滑腻的，而且有一股很清香的蓝莓味道，不知道是不是用罐头食品加进去的，总体还是很好,1,dianping
其实对于料理并不是很感兴趣，还是喜欢烹饪后的香气扑鼻。不过这家店的环境还是比较赞，也方便，尤其是那年平安夜在这吃的套餐，虽然价格不菲，但抽到了一部手机，也算是我的幸运店啦^_^,1,dianping
小聚或者随便吃吃都行 个人觉得烤翅一般 但是烤馒头和花卷好吃 有刷酱的 骨肉相连一般吧 其他味道中规中矩 不用特意去吃 碰上吃吃还行,0,dianping
湿地公园很美丽 的一个公园呀。只是来过一次也是第一些次来的呀。天气的原因吧太热了呀。哎……不过那里却是蛮好玩的呀。还有飞鹰呢。也不知道是不是叫那个名字 总之它就会飞的一种动物嘛。呵呵。空气还是不错的。里面还有芦苇呢。呵呵只是现在不是黄的啦。要是是应该会很好看的呀。看着那些感觉很凄凉但是也有一种秋的感觉呀。呵呵。这样吹着风儿还能漂来漂去的还能呼呼的响呢。呵呵。。。不错的一个地方。是男朋友带我来这里放松心情的呀。还是一个不错的地方。我根本就不知道这个地方哟。第一次来就是这样的感觉很舒服的呀。下次有机会还是会来这里的呀。很美丽的环境怎么能错过哟。在带朋友们一起来这里一起玩吧。很好的呀。好东西好风景好地方一起分享叱……,1,dianping
味道什么的都还好，但是食材是在令人不敢恭维，尤其是汤，一口喝下去那个味道实在是……食物感觉调料尤其是味精之类的放了太多，吃完难受了一下午。我想不会再去了。,0,dianping
想吃没吃过的湘菜，所以就在点评上搜索到了这家店。7点半左右到的，翻了菜单看到有黄鸭叫一阵兴奋，想吃啊，谁知道点菜的时候说是没有了，失望！点了干锅花菜豇豆，红椒扣肉，猪肚XX（名字忘记了）。总体来说味道一般般啦,0,dianping
距离达官营比较近，去过几次，每次都是七天的量，因为自己煎药比较麻烦，都是让医院代煎了，也比较放心，中医还是很可信的,1,dianping
觉得这里的环境还可以，比较有就餐的氛围，彩页比较多，但是味道真的不怎么样，似乎和餐厅档次不搭，比较失望，价格似乎也贵了点。。,0,dianping
朋友带这来这看球幕电影，第一次看，一个字：棒，两个字，真棒\n电影是探索太平洋，剧情一般吧，如果再多一些自然环境就好了，\n如果在这看宇宙类型的片效果应该更好,1,dianping
味道很鲜美，挺香的呢，呵呵，很棒的啊，尤其是喜欢吃奥尔良鸡腿饭 还有排骨饭。觉得这俩个的味道特别的好吃，有时间还去吃，嘻嘻。,1,dianping
作为西安人，城墙是我的骄傲，因为离得近，今年办了年卡，随时可以上去溜溜，哈……真的很爽！就是盛夏不行了，那上面没一棵树，只能等日落西山再去了，盼着金秋时节……,1,dianping
只能说希望越大失望越大。台独真不好。。。可能生意太好人太多。招牌的双皮奶的确不错，但红豆就一班了，尤其是热的。\n另外。每个人进去都要点的，否则酸你没消费，要收你10港币服务费。。。人家牛呀。,0,dianping
蛋挞和披萨都还不错，骨肉相连貌似做得比较难吃，不过，其他的吃算丰富，水果也挺多的，菜品供应比较充足的，比较适合年轻朋友聚餐。,1,dianping
刚开张的时候简直是物美价廉，再配上送的券，真的是很划算，所以有很大一段时间的午饭都是在那解决的。\n可是后来由于物价神马等等等等等等的原因，价格涨了但东西感觉少了，偶尔去一次的话觉得也是不错的，但不把那当长期饭堂了。\n对了，银鱼蒸蛋很好吃，可是觉得不值那价钱。,1,dianping
味道还算正宗，但价格确实够贵。不仅烤鸭贵，连青菜都贵，还要加收10%服务费，要是包间还有最低消费，就这样还要等坐，没办法。感觉九华山的更物美价廉。,1,dianping
去年情人节的时候收到了某人送的Leonidas心型的一盒巧克力\n里面每种味道的巧克力有2颗\n味道非常好吃，是我吃过最好吃的巧克力\n酒心非常浓郁~很正点，大爱\n价格的确是有点小贵，平均算下来25元一颗\n一盒要500元，也是我吃过最贵的巧克力了，哈哈\n不过我强烈推荐男生买他家的巧克力送女生\n就这味道，绝对能打动芳心,1,dianping
小笼包纸啊小笼包纸 地方远是远了一点 哎 还是当场吃的比较好 外卖回来94差了一点 吼吼吼 小时候喜欢次小笼 现在不怎么喜欢了 更喜欢生煎了,1,dianping
没什么特色菜品，没有特点，环境一般。\n其实也没有什么不好德。\n但是总体感觉就是没什么可以吸引我去第二次得。\n牛排真的很一般,0,dianping
11.05.25\n说DQ完全不如COLD STONE，也不能这样绝对，喜爱它的还是大有人在，况且比起后者，它的价格也要稍微便宜一些。\n不知是之前吃的暴风雪系列太甜，还是现在经过了改良，我选择的香蕉奶油系列，味道倒是还不错，香蕉的香味配合微甜的冰淇淋，口感倒是也不差。\n服务稍嫌不够，忘了帮我加杏仁，只是重新搅拌了一下，却没有重新帮我做一杯。,0,dianping
"地方忒别小,客流也小~~~ 服务员态度也不好,口感就更不用说了~比超市买的还难吃,总之以后再也不去这家店了,东西也不是很便宜.",0,dianping
"一直觉得烤肉,还是牛牛福的最好吃..他的酱比别处的酱要香点.当时在吃的时候,后桌的女的和服务员吵起来了,但是个人觉得服务员态度还算好,客人有点无理取闹.所以给服务加分.\n下面能以半折买邱公馆的蛋糕很是吸引人.最让我感慨的是,我和妹妹刚逛了伊势丹买了邱公馆的蛋糕,过来这边还五折,实在是让人郁闷.",1,dianping
朋友过来玩，因为在中山公园，就住了这家，结果是最便宜了，可是房间实在太小，设备也不行。晚上没开空调也热的要死，晕死了，以后估计不会住如家了,0,dianping
很喜欢他们的装修风格 \n里面的牌子还都是大牌的\n感觉有保障 \n买了地板什么的 \n其实有些东西之前没考虑买 \n谁知道有的一些很喜欢 \n结果 超出了好多预算,1,dianping
你\n卑鄙\n找马甲\n我骂定了\n店家态度差\n也算是店好坏\n评价的一个方面\n做个活动就耍大牌\n跟我们都去白吃似的\n想十二个人点六个套餐\n人张嘴就说你们换地吃吧\n态度极其不耐烦谱那叫一大\n完全就是反正我火爱谁谁那劲\n店家凭着火就能这样对待顾客么\n您那不缺我们这点人气这几百块钱\n您是有的是钱网站电视上来回做广告\n但那钱还不都是我们食客吃出来的\n最不要脸的是店家注册好多马甲\n上来就给自己写好评下优惠券\n一个店菜好不好是技术问题\n可态度好不好是人品问题\n仗着给网站钱还删点评\n怕人骂自己做好了啊\n口碑都是传出来的\n你太小看我们了\n跟你死磕到底\n马甲炒人气\n能火多久\n挑顾客\n早晚\n倒,0,dianping
比较老的影城，虽然挨着二环边，但并不是很好找。地下一层，从售票处就能看出影院规模大小。没有休息和展示区，不过设施倒也齐全。票价并没比大影院优惠太多，所以不常去。,0,dianping
开饭楼在蟹岛东门旁边，进去是大堂，里面有舞台，随时都有表扬，感觉很热闹，周末的时候跟家人在蟹岛休息，中午来这里吃了个饭，因为家里有老人一起，所以选了楼上的包间相对安静一些，饭菜都很家常，有几个值得推荐的，\n【炸蚕蛹】，味道很好火候恰到好处，口感酥脆营养价值很高，而且不算太贵我记得才20多块钱。\n【农家一锅鲜】，我也忘了是不是叫这个名字了，柴鸡炖王八，旁边配上贴饼子，红烧口，味道很足，鸡肉有嚼头，比较有特色，价格好像是128。\n【嘎鱼豆腐】豆腐味儿十足，尤其是鱼汤，非常鲜美，乳白色的很有食欲，爱品汤的同学们可以感受一下农家风情的嘎鱼豆腐汤，价格没注意~\n【韭菜糊饼】15一张，又薄又脆\n其他家常菜相对一般，都中规中矩，不推荐菜，韭菜鸡蛋炒龙骨，一大盘子就发下2个皮皮虾，实属蒙人……\n总体来讲味道不错，经济实惠，来蟹岛玩的同学们可以来这里尝尝，喜欢热闹的还可以在一层大厅吃饭顺便看表演。\nps：餐厅旁边是商品部，里面有蟹岛出售的自制豆腐，味道很好，豆腐不多，先到先得。,1,dianping
一直想试试满记甜品，最近得偿所愿。\n芒果白雪黑糯米甜甜：芒果不甜，但是黑糯米的口感不错，很有嚼劲也很香，而且奶里还有丝丝碎冰，吃起来感觉很不错。\n榴莲班戟：班戟很薄，奶油很香不腻，榴莲的味道和奶油也好的融合在一起，淡绿色的表皮很可爱啊！\n白雪黑珍珠：龙眼肉、芒果、香蕉、亚塔子、罗勒籽等，味道很全面，果肉也很厚。\n杨枝甘露：没有想象的好，甚至有点失望，芒果味道不够是硬伤，柚子粒有一点苦，西米口感还是可以的。\n芒果布甸：同样是芒果的问题，没有什么可圈可点的地方。\n和很多人一样的感觉，没有想象的好，但是芒果白雪黑糯米甜甜还是不错的，除此之外芒果类的甜品还是不点为妙。,0,dianping
老闵行满出名的一幢建筑，现在变成大酒店了，1-5楼是吃饭的。\n因为是我请客，就订好了包房，环境满好的，装修比较大气，房间内配卫生间。\n菜的口味也满好的，比较喜欢的几个菜是酒鬼鸭拐、酸汤肥牛、熏鱼、海瓜子，还有山药排骨炖的汤，非常鲜美。点心中的老鼠爱大米也算满有特色的，外面是糯米，里面是奶黄，蘸糖吃，外形可爱，味道也丰富。\n比较失败的菜：馋嘴牛蛙，牛蛙的量太少了，下面全是年糕一刚，鱼目混珠\n鲜咸黄鱼，鱼煎的太老了，鱼肉都夹不下来。。。\n当天楼下在摆酒席，所以上菜速度慢了点，不过态度还是不错的。,1,dianping
原来一直听同事说他家麻辣花生好吃，后来自己去买了一份回来吃，味道确实不错，那以后就上瘾了，每次去那里都会买一些回来。,1,dianping
第一次是同学带我来吃的，环境也不错，一边吃一边看风景，面挺好吃的，汤底也不错，喝了几口，炒饭好吃，套餐觉得不太实惠咯,0,dianping
感觉他们家的菜做的要不就是很咸，要不就是油很大，反正我个人是不太喜欢的~！鱼做的还味道还算可以~~价格稍微有点高了,0,dianping
味道一般 环境一般 \n以前看点评上说其他家的很好 抱\n着试试的心情去的  \n结果味道比较让人失望\n没有乐滨负一层的那家好,0,dianping
环境方面就是一个字——挤！！！！\n而且是很挤，跑步机都是一个挨着一个，一点空地都没有。室内装修和设施都感觉乌突突的，不明亮。只有一个操室，而且要提前很久就是排队，去晚了在后面根本就看不见。\n不过价格就是那样，原来700元一年的时候还不错，现在600元一年半，所以质量自然就是这样了,0,dianping
上次到大悦城就跑到B2去看看，找到了传说中的万宁，门口就是一个大牌子写着正在优惠的洗发水，他家的优惠活动还是挺多的。进去逛了一圈，觉得和屈是差不多的感觉，说实话，如果是买很多东西的时候首选的还是那种大型的超市，而像这种小超市，一般都是应急的，不会买很多东西，所以一直也没有办会员卡。,0,dianping
晚上大概5点半左右过去的，也没有定位，选了靠窗的位子，点完餐后上来了面包和蘸料。面包一般，不过蘸料很不错。色拉点了招牌的Bomba，一大盘，两个人足够了。pizza真的很不错，和pizza hut他们的不一样，手工pizza的味道很足，cheese很浓郁，赞一个！另一个主菜点的是牛肉的东东，不如想象中那般。客人并不是很多，大多是住在附近小区的居民。总的来都不错，以后还会去尝他家的pizza。只是附近的PapaJones生意实在是很清淡。,1,dianping
既然是来喝粥的那么主要还是关注粥的质量。\n 我个人觉得不知道是当地的口味问题还是我的问题，我个人感觉这边的粥做的很稀很稀，而且感觉米和汤是分离的。为什么这么说呢，因为==我们点的乌鸡粥，感觉鸡和粥都是分离的，而且没有什么粘性，所以实在是一般。难道苏州的TX就喜欢这种粥和汤分离的感觉么，还是这家点做的不到位呢。\n Location是不错的，为什么搞的店里面破破烂烂的，很不干净的样子。\n 我个人建议把店搞的高档一些，然后先把粥熬好，之后在将佐料放进去再煮，这样才会比较粘比较香比较好吃啊！价格贵一些也是可以接受的。\n 苹果酪不错，蛮灵的。,0,dianping
愣是把人均吃出一倍来\n不过真的很好吃\n如果不是很能吃辣的话建议多点些肉食海鲜，比较不辣\n蔬菜真的很辣 \n不过冬天满满一大锅，吃着真的很香\n米饭一碗分量很足 两个女生的话，其实可以要一碗,1,dianping
这里的房间很大 采光很好 每个房间都有大大的窗户 每天早上 阳光能够摄入房间 很舒服 而且房价不贵 很实惠 在上海能找到这样的房间真是不容易啊,1,dianping
又是家嗲店啊~~~喜欢他的氛围~~~主要是他的名字啊！！！！宫崎骏啊！！！！\n同学一开始看还以为里面全是宫崎骏的东西呢~~其实里面有很多种明信片啊~~~\n可以寄给未来的自己或者朋友~~不过这个如果寄给朋友的话就没什么意思了，毕竟人家可能不知道这里的曲折~~寄给自己就超级有feel了~~~有木有！！！！\n我想如果我10年以后收到的话！说不定、、、、泪流满面、、、额、、、\n我最期待的是和未来男友来一次~~~然后互寄明信片看看十年后还在不在一起咯~~~\n哇咔咔~~~真有意思！！！,0,dianping
这里曾经是望京地区最大的超市，生意红火的不行，方圆几公里的居民都来这里采购日常所需。但随着家乐福、乐天玛特、欧尚、麦德龙这些大型超市纷纷进驻望京，华联、华堂、新世界这些逐渐开业的商场也都设有地下超市，京客隆的龙头老大地位日益不保，但周围的住户如我们如果需要的东西不多还是会来这里买，所以生意惨淡是不会发生的，只能说其他超市的出现让京客隆的客流量趋于合理了。最大的问题是停车不方便，旁边交通银行外的停车场和路边的车位根本满足不了所需，所以逛这里的人在马路边上违章停车是常见的景象。,0,dianping
地理位置不错，就在久光对面。。。。。。。\n在那里买过西洋参和虫草，西洋参就不说了，冲水喝的，品质也就这样了。。。\n虫草明知道在那里是卖贵的，但是那里几个阿姨服务还是不错滴。。。会一根根的帮你挑，就冲着这份细心，也值这个价钱了吧，哈哈,0,dianping
一群人去的 吃了生鱼片 比较喜欢毛血旺 重口味一些 还有很多其他的菜 有些记不清了 不过口感还行吧 值得去下~~~ 环境还可以,1,dianping
环境非常好。人少。哈哈。就是东西贵啊。只有过节的时候可以买买。早上一早去排号，可以拿到比较实惠的衣服的。还有福袋也是不错,1,dianping
平常看电影基本上都去那儿的，主要是地理位置比较近，交通方便。但是这家电影院不是很新，不过价格比UME便宜一些，星期二跟星期三都是全天半价的。,1,dianping
比较久的一家店了，二层小楼，环境不错，东西还是烤翅最好吃。其他的比萨也做的还可以，但太占肚子，成本又低，所以只尝一块。,1,dianping
收费是48/位，儿童1米以下不收费，1米以上儿童半价.\n基本上跟牛太郎很像，就是超多肉肉，拿来烤啊，有大麦茶，解腻，没有咖啡，有饮料：可乐、雪碧、芬达、醒目。\n说是所有酱料均来自韩国，反正我觉得酱料还不错。\n我们去吃时菜品很新鲜。品种也是很丰富的。\n基围虾好吃，哈哈，我还喜欢培根，表妹不喜欢啊，肉肉很多，很哈皮，等十一再去，手受伤了现在要修养！,0,dianping
和朋友去过，进包房，聚会还可以，喝了杯咖啡，自己还没去过，感觉聊天，消磨时间都还行，应该可以上网，哪天有时间感受一下，,0,dianping
说实在的，我真的很搞不懂这家店开得如此红火的理由。\n每次有朋友约在这里我都很皱眉，一个烧烤是好吃的什么程度让人大老远的非往这里跑不可呢？我真的想不到理由。\n排骨串据说是这里的头牌，但是那个味道真的不合我胃口，烤羊排还勉强可以，羊肉串也不好吃，真搞不懂为啥这么火！,0,dianping
小脑壳现在只是名气大，前两年没得楞个出名的时候还是好吃，特别是排骨和肉串，这哈是越做越假了。环境脏得很，排骨竟是骨头，肉串味道也不行了，卖的又贵，还不如路边随便一个烧烤摊的东西好吃。,0,dianping
店面比较小，老板很有爱，和他聊了很久，聊点啥“内幕”。在烤肉店方面还算可以，但是也只能说还算可以，没有什么亮点。（竟然把我最爱吃的鸡翅烤焦了！哭~）,0,dianping
新店的感觉就是不一样，又亮堂，又干净，前天克跟老爸定了个生日蛋糕，草莓地，切片到目前还冒吃过，正好趁这个机会好好试哈，不过价格都涨了，其实相对于樱花家的蛋糕来说，价格已经算是高的了，现在还要涨价，但是拥护者依然还是那多，可见现在的人对物质享受是越来越高了。。。。。。,1,dianping
"地段不是很好并不影响生意,这里口味很不错的说\n价格很合理,服务很上档次\n坛子肉是这里的招牌菜,肥,但是好吃,有时去晚了还没有了,汗\n上次4个人去晚了给了个包厢,够气派啊...",1,dianping
这里的日料是我来的次数最多的！服务态度非常好哟！而且上菜也非常快！三文鱼头真心美味！唯一美中不足的是环境不是很好！形形色色的人都有！Yp太多了！握以后会多来光顾嗒！,1,dianping
和朋友去吃，人很多很乱，朋友要的味千拉面都快见底了，我的石锅还在炉子上呢，怪不得要点完菜就付款，是怕人等不及就走了吧。,0,dianping
有好多好吃的，但就是人太多，也不知道是什么原因，可能是边上靠近学校的缘吧，虽然人多但东西还可以，值得去逛逛 。还不错,1,dianping
去了三次，都觉得不错。\n首先炒年糕是必点的，我喜欢海鲜那种\n其次，炸酱面也是不错，分量还挺多的\n牛肉石锅饭不过不失，没有其他人说的那么好吃\n之前还吃过火锅，不过味道怎样就忘了\n餐前小吃不错，喜欢南瓜羹\n大众点评卡有9折~~,1,dianping
时常叫宵夜外卖，也会去店里吃，晚饭时间去可能要等位。东西是好吃的，价格小贵吧。\n推荐：\n生菜火鸭丝粥 -- 每次必点，干炒牛河，干炒肉丝面，椒盐九肚鱼。,0,dianping
其實上回吃burger坐的就是這 這回還是 這家實在太火啦~~\n五點一去 一層全滿 說讓我們等會 然後老闆操著詭異的中英口音說一會就好\n我問服務生 二樓也滿了？！服務生說一層滿了二樓才開 於是這個完美悖論啊 如果一層滿了 那爲什麽我們不能去二層 如果一層沒滿 那我們爲什麽要莫名等？。。。\n說正經的\n蒜蓉老虎蝦沙拉 酥香啊！！！特別入味兒特別好吃 下次一定要鐵板老虎蝦 太贊啦這個 盤旋在我腦袋一禮拜了\n白葡萄酒海虹 沒有想像中驚豔 沾汁兒還行 汁少的部份我吃還是有點腥\n三文魚意面 白汁相當濃稠 但是也很膩。。\n海鮮意面 番茄汁 也沒有想像中的香 而且對於寬面無愛\n粗薯條 思慕冰 松露蛋糕 依舊不二選擇~~\n服務員神馬的也很貼心利索可愛\n但願輻射啊以後不要變成RIVERFOOD~~,1,dianping
味道越来越差了，服务也不好，经常没货\n前些日子跟85度竞争搞活动，买30送30，等去换面包的时候被告知只能换饮料，这不是坑爹呢么，简直是欺诈消费者，虽说最后迫于顾客们强大压力换了面包，但总觉得是被骗了，以后不会再去,0,dianping
原来最爱去的逍遥寨，后来改名成了馋府，还以为肉饼都没有了，结果进去发现里面都没变，还是那么经典，菜量大，很实惠，肉饼味道也很好，猪肉香菇，牛肉胡萝卜馅的推荐。,1,dianping
冬天了~就该吃火锅~虽然今年的千年极寒还离得远点~\n食物都非常新鲜，鸡鸭血啦，豆腐啦~羊肉，牛肉~价廉物美\n但是我最爱里面的黑鱼片~那个鱼皮QQ脆脆有嚼劲\n不过，服务……望天\n“我们5点以前不接受定位”这句话的理解非常有深度~~,0,dianping
团的票，结果一直下雨不开门，最后一天开了光换票就换了2个小时。明明天气原因却让消费者来承担。\n地方还好了，只是儿童池的水太浑浊了。\n饭很难吃，吃饭的地方也少。\n换衣服都是在公共卫生间里。,1,dianping
早就想好要吃的，吃好火锅么正好呀~~\n找了好一会儿才找到啊~~\n点了热的大壹丸1号和芋Q牛奶冰，大壹丸1号选了仙草汤底的，有花豆有珍珠有芋Q还有金薯，温温热热蛮好喝的~~芋Q牛奶冰选了一半芋Q一半金薯，金薯就是地瓜丸，比芋Q要更好吃哦，浓浓的奶味加上满满当当嚼劲十足的芋Q和金薯，不错呢~~下回要吃吃看冰的大壹丸1号~~,1,dianping
